Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-February-2020,90.60,90.90,87.65,87.90,88.373328528018523501,405107,4313,35800654.00,204612,50.51,3.25,-2.70
11-February-2020,91.00,91.30,90.25,90.60,90.763822381079886170,160591,2886,14575853.00,69336,43.18,1.05,-0.40
10-February-2020,91.65,91.90,90.60,90.75,91.008072927829454041,139974,2345,12738764.00,62818,44.88,1.30,-0.90
7-February-2020,92.00,92.50,91.20,91.65,91.882466497345624546,205133,3282,18848126.00,85812,41.83,1.30,-0.35
6-February-2020,92.70,93.45,91.50,91.75,92.202348376557075760,293820,4509,27090894.00,130401,44.38,1.95,-0.95
5-February-2020,92.00,93.45,91.00,92.65,92.552764149290345190,365248,4979,33804712.00,121110,33.16,2.45,0.65
4-February-2020,93.50,94.55,91.50,91.90,92.836234446344980906,417426,7466,38752258.00,239868,57.46,3.05,-1.60
3-February-2020,93.45,96.50,91.20,92.05,93.386274240132031357,290840,4008,27160464.00,133419,45.87,5.30,-1.40
1-February-2020,97.40,97.60,92.55,93.60,95.563841386635902558,284314,3250,27170138.00,111097,39.08,5.05,-3.80
31-January-2020,97.00,97.60,96.05,96.45,96.567159577369588160,168658,2246,16286824.00,56427,33.46,1.55,-0.55
30-January-2020,99.00,99.65,96.20,96.65,97.034086928965758793,239828,4146,23271491.00,99260,41.39,3.45,-2.35
29-January-2020,99.70,100.70,98.70,98.85,99.367178148656709247,249797,3205,24821623.00,104912,42.00,2.00,-0.85
28-January-2020,101.50,102.50,99.05,99.75,100.740994098220856506,487819,8309,49143371.00,122330,25.08,3.45,-1.75
27-January-2020,99.50,100.95,98.40,98.70,99.496355451136048564,274108,5223,27272747.00,92346,33.69,2.55,-0.80
24-January-2020,100.90,101.60,98.40,98.75,100.144932193027553529,575752,9972,57658645.00,291788,50.68,3.20,-2.15
23-January-2020,100.15,102.90,98.75,99.00,100.559369188581514829,475895,4790,47855701.00,192426,40.43,4.15,-1.15
22-January-2020,102.30,102.50,97.50,97.85,98.657015994289747464,501554,11462,49481821.00,256088,51.06,5.00,-4.45
21-January-2020,102.45,102.65,101.35,101.70,101.921762125566572607,191723,3899,19540746.00,71554,37.32,1.30,-0.75
20-January-2020,104.30,105.25,102.20,102.65,103.438255845001335057,333319,8927,34477936.00,94287,28.29,3.05,-1.65
17-January-2020,104.00,104.80,102.70,103.20,103.748020244120273891,235130,6093,24394272.00,85154,36.22,2.10,-0.80
16-January-2020,105.05,106.00,103.50,104.05,104.890350617617964608,236554,5746,24812232.00,99739,42.16,2.50,-1.00
15-January-2020,105.00,105.25,103.55,104.40,104.242783798673191146,216007,5487,22517171.00,68019,31.49,1.70,-0.60
14-January-2020,104.15,106.00,103.20,104.85,104.557476849139782723,435297,9323,45513556.00,101382,23.29,2.80,0.70
13-January-2020,106.55,106.55,103.70,104.15,104.518132800171479043,270587,3725,28281248.00,93246,34.46,2.85,-2.40
10-January-2020,108.90,109.10,105.05,106.15,106.917011805605536181,458511,5827,49022626.00,139729,30.47,4.05,-2.75
9-January-2020,103.30,109.40,103.30,106.30,106.220123578022931374,1669067,17019,177288503.00,314568,18.85,6.10,3.00
8-January-2020,100.00,100.00,97.00,99.25,98.822498769886829588,731640,9390,72302493.00,218932,29.92,3.00,-0.75
7-January-2020,108.90,108.90,100.65,101.50,103.322417702357672342,615692,11565,63614786.00,234755,38.13,8.25,-7.40
6-January-2020,105.00,110.60,101.50,105.00,106.105429377933369239,831808,15023,88259345.00,220721,26.54,9.10,0.00
3-January-2020,112.70,113.05,105.60,106.15,107.915226849653079161,915915,11386,98841175.00,370078,40.41,7.45,-6.55
2-January-2020,116.35,117.30,111.55,113.90,113.881567727123647097,518330,10168,59028233.00,120334,23.22,5.75,-2.45
1-January-2020,113.00,120.00,113.00,116.40,116.673066861364606689,1599743,16586,186646922.00,589366,36.84,7.00,3.40
31-December-2019,111.05,117.80,111.05,112.70,114.006774105549435560,1440633,15962,164241921.00,283379,19.67,6.75,1.65
30-December-2019,103.80,119.20,103.80,110.45,112.525816360433787659,2675687,29520,301083864.00,491757,18.38,15.40,6.65
27-December-2019,96.75,104.85,96.60,103.70,101.609934194921041093,1112984,12659,113090231.00,324189,29.13,8.25,6.95
26-December-2019,95.60,98.40,94.95,96.25,96.923647281365475980,454640,6184,44065367.00,137949,30.34,3.45,0.65
24-December-2019,92.85,96.20,92.85,94.80,95.064696898551961942,421674,4420,40086311.00,123143,29.20,3.35,1.95
23-December-2019,95.10,96.50,92.40,92.85,93.771304412150056482,797593,7809,74791336.00,231919,29.08,4.10,-2.25
20-December-2019,99.55,99.55,95.70,96.00,96.709828272048122635,463815,4729,44855469.00,237650,51.24,3.85,-3.55
19-December-2019,100.00,100.95,99.00,99.30,99.762599637504628637,205244,2288,20475675.00,86373,42.08,1.95,-0.70
18-December-2019,102.10,102.15,99.50,99.90,100.273990081620002066,387160,5118,38822078.00,176619,45.62,2.65,-2.20
17-December-2019,103.25,104.00,101.55,102.05,102.817394390515289874,208504,1984,21437838.00,125236,60.06,2.45,-1.20
16-December-2019,104.45,104.45,103.10,103.35,103.565409640252542863,134789,1146,13959478.00,63866,47.38,1.35,-1.10
13-December-2019,104.60,105.40,102.80,104.05,103.874697323149675087,315931,3560,32817237.00,75318,23.84,2.60,-0.55
12-December-2019,103.95,104.50,102.30,102.50,102.945956081247233561,162664,2246,16745601.00,80531,49.51,2.20,-1.45
11-December-2019,105.00,105.55,102.10,103.75,104.061144917026620844,190302,2384,19803044.00,69541,36.54,3.45,-1.25
10-December-2019,105.90,106.20,104.00,104.30,104.905024487308451976,136193,1742,14287330.00,55795,40.97,2.20,-1.60
9-December-2019,106.35,107.80,105.20,105.60,106.195594281331434097,209909,2457,22291411.00,70536,33.60,2.60,-0.75
6-December-2019,108.75,108.75,105.50,106.25,106.933717250045357721,148817,2302,15913555.00,65746,44.18,3.25,-2.50
5-December-2019,108.15,111.70,106.25,107.65,108.854286072286039950,494812,6471,53862407.00,95454,19.29,5.45,-0.50
4-December-2019,102.15,111.75,101.70,108.85,108.120988336861655661,1016536,9601,109908877.00,351483,34.58,10.05,6.70
3-December-2019,104.10,104.20,100.10,102.75,102.070070259309423241,386141,4288,39413439.00,154280,39.95,4.10,-1.35
2-December-2019,105.50,105.80,103.40,103.75,104.046172367049519680,204343,3073,21261107.00,89915,44.00,2.40,-1.75
29-November-2019,105.00,106.80,104.10,105.35,105.371497775410990672,349278,4480,36803946.00,97381,27.88,2.70,0.35
28-November-2019,104.50,106.35,104.05,105.10,105.173492246954624555,308008,3803,32394277.00,96543,31.34,2.30,0.60
27-November-2019,103.60,107.80,103.60,104.00,105.396970078998491722,658367,7657,69389887.00,227158,34.50,4.20,0.40
26-November-2019,110.20,111.00,105.50,105.85,107.536203147996890672,506862,4974,54506015.00,233470,46.06,5.50,-4.35
25-November-2019,109.50,113.80,106.30,109.65,110.235300490567184450,756879,8565,83434784.00,229119,30.27,7.50,0.15
22-November-2019,107.90,111.95,106.65,109.50,108.476996379648404301,298866,3656,32420086.00,95191,31.85,5.30,1.60
21-November-2019,111.45,111.95,107.35,107.70,108.995929470016220033,257706,4786,28088905.00,112991,43.84,4.60,-3.75
20-November-2019,110.70,113.50,110.00,111.15,111.617703629041739231,637937,8855,71205063.00,216740,33.98,3.50,0.45
19-November-2019,110.00,111.35,107.55,109.40,109.297329564349850349,601400,7197,65731414.00,239264,39.78,3.80,-0.60
18-November-2019,107.30,108.00,105.55,106.00,106.783049058723934112,263419,4590,28128684.00,113204,42.97,2.45,-1.30
15-November-2019,107.00,108.30,106.10,106.45,107.004438577475279000,330286,3182,35342068.00,131480,39.81,2.20,-0.55
14-November-2019,109.30,110.80,105.80,106.95,107.878875916221638112,899755,9564,97064558.00,272145,30.25,5.00,-2.35
13-November-2019,115.40,115.85,113.15,113.70,114.573009545256281508,295749,3010,33884853.00,142561,48.20,2.70,-1.70
11-November-2019,113.30,116.00,112.10,115.05,114.245695670626560474,261539,5372,29879705.00,110914,42.41,3.90,1.75
8-November-2019,114.00,115.70,113.00,113.20,113.997097962909900244,300134,4636,34214405.00,120898,40.28,2.70,-0.80
7-November-2019,115.95,115.95,114.10,114.60,114.782524271844660194,190550,4022,21871810.00,75906,39.84,1.85,-1.35
6-November-2019,116.95,116.95,114.50,114.95,115.333810076249346876,225838,2932,26046757.00,88409,39.15,2.45,-2.00
5-November-2019,114.05,120.25,113.10,116.90,117.239404574576471331,728286,9192,85383817.00,192803,26.47,7.15,2.85
4-November-2019,117.90,118.00,114.10,114.70,115.708948004160561899,357644,4455,41382611.00,181417,50.73,3.90,-3.20
1-November-2019,118.00,121.45,116.30,117.90,118.648125114193756939,853812,10502,101303193.00,281523,32.97,5.15,-0.10
31-October-2019,114.25,116.00,113.40,115.15,114.640458799332492731,402093,7316,46096126.00,152098,37.83,2.60,0.90
30-October-2019,116.50,117.20,113.00,113.95,115.132466640311594719,462909,7781,53295855.00,205088,44.30,4.20,-2.55
29-October-2019,112.40,118.00,111.00,115.55,114.502605724834640620,979382,13117,112141791.00,273514,27.93,7.00,3.15
